start training

| epoch   1 | 103000/163125 batches | lr 0.05 | ms/batches 16.39 | loss  4.54 | ppl    93.93
| epoch   1 | 104000/163125 batches | lr 0.05 | ms/batches 16.53 | loss  4.54 | ppl    93.76
| epoch   1 | 105000/163125 batches | lr 0.05 | ms/batches 16.88 | loss  4.54 | ppl    93.62
| epoch   1 | 106000/163125 batches | lr 0.05 | ms/batches 16.61 | loss  4.54 | ppl    93.49
| epoch   1 | 107000/163125 batches | lr 0.05 | ms/batches 16.30 | loss  4.54 | ppl    93.37
| epoch   1 | 108000/163125 batches | lr 0.05 | ms/batches 15.34 | loss  4.53 | ppl    93.19
| epoch   1 | 109000/163125 batches | lr 0.05 | ms/batches 18.38 | loss  4.53 | ppl    93.02
| epoch   1 | 110000/163125 batches | lr 0.05 | ms/batches 16.54 | loss  4.53 | ppl    92.95
| epoch   1 | 111000/163125 batches | lr 0.05 | ms/batches 16.26 | loss  4.53 | ppl    92.83
| epoch   1 | 112000/163125 batches | lr 0.05 | ms/batches 16.91 | loss  4.53 | ppl    92.73
| epoch   1 | 113000/163125 batches | lr 0.05 | ms/batches 15.53 | loss  4.53 | ppl    92.62
| epoch   1 | 114000/163125 batches | lr 0.05 | ms/batches 16.86 | loss  4.53 | ppl    92.48
| epoch   1 | 115000/163125 batches | lr 0.05 | ms/batches 17.03 | loss  4.53 | ppl    92.38
| epoch   1 | 116000/163125 batches | lr 0.05 | ms/batches 16.42 | loss  4.52 | ppl    92.29
| epoch   1 | 117000/163125 batches | lr 0.05 | ms/batches 16.67 | loss  4.52 | ppl    92.19
| epoch   1 | 118000/163125 batches | lr 0.05 | ms/batches 17.37 | loss  4.52 | ppl    92.11
| epoch   1 | 119000/163125 batches | lr 0.05 | ms/batches 15.86 | loss  4.52 | ppl    91.96
| epoch   1 | 120000/163125 batches | lr 0.05 | ms/batches 16.18 | loss  4.52 | ppl    91.80
| epoch   1 | 121000/163125 batches | lr 0.05 | ms/batches 17.12 | loss  4.52 | ppl    91.64
| epoch   1 | 122000/163125 batches | lr 0.05 | ms/batches 15.39 | loss  4.52 | ppl    91.50
| epoch   1 | 123000/163125 batches | lr 0.05 | ms/batches 14.91 | loss  4.52 | ppl    91.38
| epoch   1 | 124000/163125 batches | lr 0.05 | ms/batches 16.89 | loss  4.51 | ppl    91.29
| epoch   1 | 125000/163125 batches | lr 0.05 | ms/batches 17.29 | loss  4.51 | ppl    91.18
| epoch   1 | 126000/163125 batches | lr 0.05 | ms/batches 14.63 | loss  4.51 | ppl    91.07
| epoch   1 | 127000/163125 batches | lr 0.05 | ms/batches 16.09 | loss  4.51 | ppl    91.02
| epoch   1 | 128000/163125 batches | lr 0.05 | ms/batches 16.60 | loss  4.51 | ppl    90.90
| epoch   1 | 129000/163125 batches | lr 0.05 | ms/batches 16.69 | loss  4.51 | ppl    90.77
| epoch   1 | 130000/163125 batches | lr 0.05 | ms/batches 16.55 | loss  4.51 | ppl    90.69
| epoch   1 | 131000/163125 batches | lr 0.05 | ms/batches 16.89 | loss  4.51 | ppl    90.61
| epoch   1 | 132000/163125 batches | lr 0.05 | ms/batches 16.09 | loss  4.51 | ppl    90.51
| epoch   1 | 133000/163125 batches | lr 0.05 | ms/batches 17.08 | loss  4.50 | ppl    90.42
| epoch   1 | 134000/163125 batches | lr 0.05 | ms/batches 16.81 | loss  4.50 | ppl    90.31
| epoch   1 | 135000/163125 batches | lr 0.05 | ms/batches 16.82 | loss  4.50 | ppl    90.20
| epoch   1 | 136000/163125 batches | lr 0.05 | ms/batches 16.67 | loss  4.50 | ppl    90.08
| epoch   1 | 137000/163125 batches | lr 0.05 | ms/batches 17.22 | loss  4.50 | ppl    89.99
| epoch   1 | 138000/163125 batches | lr 0.05 | ms/batches 16.98 | loss  4.50 | ppl    89.91
| epoch   1 | 139000/163125 batches | lr 0.05 | ms/batches 15.85 | loss  4.50 | ppl    89.82
| epoch   1 | 140000/163125 batches | lr 0.05 | ms/batches 15.41 | loss  4.50 | ppl    89.75
| epoch   1 | 141000/163125 batches | lr 0.05 | ms/batches 15.11 | loss  4.50 | ppl    89.65
| epoch   1 | 142000/163125 batches | lr 0.05 | ms/batches 14.87 | loss  4.49 | ppl    89.53
| epoch   1 | 143000/163125 batches | lr 0.05 | ms/batches 15.43 | loss  4.49 | ppl    89.45
| epoch   1 | 144000/163125 batches | lr 0.05 | ms/batches 15.99 | loss  4.49 | ppl    89.32
| epoch   1 | 145000/163125 batches | lr 0.05 | ms/batches 15.51 | loss  4.49 | ppl    89.23
| epoch   1 | 146000/163125 batches | lr 0.05 | ms/batches 16.27 | loss  4.49 | ppl    89.12
| epoch   1 | 147000/163125 batches | lr 0.05 | ms/batches 15.29 | loss  4.49 | ppl    89.03
| epoch   1 | 148000/163125 batches | lr 0.05 | ms/batches 15.92 | loss  4.49 | ppl    88.96
| epoch   1 | 149000/163125 batches | lr 0.05 | ms/batches 15.77 | loss  4.49 | ppl    88.87
| epoch   1 | 150000/163125 batches | lr 0.05 | ms/batches 15.65 | loss  4.49 | ppl    88.75
| epoch   1 | 151000/163125 batches | lr 0.05 | ms/batches 15.83 | loss  4.48 | ppl    88.64
| epoch   1 | 152000/163125 batches | lr 0.05 | ms/batches 15.12 | loss  4.48 | ppl    88.53
| epoch   1 | 153000/163125 batches | lr 0.05 | ms/batches 15.77 | loss  4.48 | ppl    88.40
| epoch   1 | 154000/163125 batches | lr 0.05 | ms/batches 15.15 | loss  4.48 | ppl    88.29
| epoch   1 | 155000/163125 batches | lr 0.05 | ms/batches 15.40 | loss  4.48 | ppl    88.17
| epoch   1 | 156000/163125 batches | lr 0.05 | ms/batches 15.45 | loss  4.48 | ppl    88.10
| epoch   1 | 157000/163125 batches | lr 0.05 | ms/batches 16.51 | loss  4.48 | ppl    87.97
| epoch   1 | 158000/163125 batches | lr 0.05 | ms/batches 15.81 | loss  4.48 | ppl    87.86
| epoch   1 | 159000/163125 batches | lr 0.05 | ms/batches 16.14 | loss  4.47 | ppl    87.76
| epoch   1 | 160000/163125 batches | lr 0.05 | ms/batches 14.73 | loss  4.47 | ppl    87.68
| epoch   1 | 161000/163125 batches | lr 0.05 | ms/batches 15.13 | loss  4.47 | ppl    87.59
| epoch   1 | 162000/163125 batches | lr 0.05 | ms/batches 14.96 | loss  4.47 | ppl    87.48
End of Epoch 1
Evaluation for validation data : 0.3055615202920335
Time : 61.85361123085022
loss : 0.22701086354135366
ppl : 1.2548434999104872
| epoch   2 |  1000/163125 batches | lr 0.05 | ms/batches 14.82 | loss  4.34 | ppl    77.07
| epoch   2 |  2000/163125 batches | lr 0.05 | ms/batches 14.33 | loss  4.31 | ppl    74.20
| epoch   2 |  3000/163125 batches | lr 0.05 | ms/batches 14.60 | loss  4.29 | ppl    73.05
| epoch   2 |  4000/163125 batches | lr 0.05 | ms/batches 16.23 | loss  4.29 | ppl    73.03
| epoch   2 |  5000/163125 batches | lr 0.05 | ms/batches 17.38 | loss  4.29 | ppl    72.72
| epoch   2 |  6000/163125 batches | lr 0.05 | ms/batches 19.74 | loss  4.28 | ppl    72.10
| epoch   2 |  7000/163125 batches | lr 0.05 | ms/batches 15.18 | loss  4.28 | ppl    71.96
| epoch   2 |  8000/163125 batches | lr 0.05 | ms/batches 18.42 | loss  4.28 | ppl    71.95
| epoch   2 |  9000/163125 batches | lr 0.05 | ms/batches 18.13 | loss  4.28 | ppl    72.32
| epoch   2 | 10000/163125 batches | lr 0.05 | ms/batches 17.86 | loss  4.28 | ppl    72.42
| epoch   2 | 11000/163125 batches | lr 0.05 | ms/batches 17.33 | loss  4.29 | ppl    72.61
| epoch   2 | 12000/163125 batches | lr 0.05 | ms/batches 18.59 | loss  4.29 | ppl    72.69
